signal_id,experiment,ticker,signal_date,entry_date,graded_at,entry_open,ret_1d_net,ret_nd_net,bench_1d_net,bench_nd_net,excess_1d,excess_nd,win_1d,note
EXP03-MACD-2026-08-03-SCHW,EXP03-MACD,SCHW,2026-08-03,2026-08-04,2026-08-11T21:40:51+00:00,105.26,0.9355,2.2181,0.7244,1.5175,0.2111,0.7006,1,
EXP03-MACD-2026-08-04-NVDA,EXP03-MACD,NVDA,2026-08-04,2026-08-05,2026-08-12T21:40:19+00:00,216.86,0.9883,3.2339,-0.62,0.1304,1.6082,3.1035,1,
EXP03-MACD-2026-08-04-V,EXP03-MACD,V,2026-08-04,2026-08-05,2026-08-12T21:40:19+00:00,372.3,-1.1099,-3.5596,-0.62,0.1304,-0.49,-3.69,0,
EXP03-MACD-2026-08-05-JPM,EXP03-MACD,JPM,2026-08-05,2026-08-06,2026-08-13T21:39:50+00:00,362.81,-1.8943,-0.0173,-0.6973,0.702,-1.197,-0.7193,0,
EXP03-MACD-2026-08-05-WFC,EXP03-MACD,WFC,2026-08-05,2026-08-06,2026-08-13T21:39:50+00:00,89.84,-2.6045,-2.0256,-0.6973,0.702,-1.9071,-2.7277,0,
EXP03-MACD-2026-08-06-CAT,EXP03-MACD,CAT,2026-08-06,2026-08-07,2026-08-14T21:25:32+00:00,865.63,-2.8079,-1.1466,0.4622,1.0673,-3.27,-2.2139,0,
EXP03-MACD-2026-08-07-MS,EXP03-MACD,MS,2026-08-07,2026-08-10,2026-08-17T21:21:26+00:00,216.33,-0.5623,0.769,0.7121,-0.18,-1.2743,0.949,0,
EXP03-MACD-2026-08-10-LLY,EXP03-MACD,LLY,2026-08-10,2026-08-11,2026-08-18T21:18:55+00:00,1230.65,-1.3701,-0.4998,-0.5098,-0.4185,-0.8602,-0.0813,0,
EXP03-MACD-2026-08-10-COP,EXP03-MACD,COP,2026-08-10,2026-08-11,2026-08-18T21:18:55+00:00,122.75,2.4825,5.5782,-0.5098,-0.4185,2.9923,5.9967,1,
EXP03-MACD-2026-08-10-XOM,EXP03-MACD,XOM,2026-08-10,2026-08-11,2026-08-18T21:18:55+00:00,159.66,-0.0123,3.5953,-0.5098,-0.4185,0.4975,4.0138,0,
