session,ticker,graded_at,cc_ret,on_ret,id_ret,is_tom,cycle,iso_week
2026-08-07,QQQ,2026-09-01T22:57:25+00:00,1.1726,0.76961,0.39992,0,2026-09,2026-W32
2026-08-10,QQQ,2026-09-01T22:57:25+00:00,-0.29875,-0.08852,-0.21042,0,2026-09,2026-W33
2026-08-11,QQQ,2026-09-01T22:57:25+00:00,-0.3357,0.3357,-0.66916,0,2026-09,2026-W33
2026-08-12,QQQ,2026-09-01T22:57:25+00:00,0.73074,1.2012,-0.46487,0,2026-09,2026-W33
2026-08-13,QQQ,2026-09-01T22:57:25+00:00,1.15656,0.20036,0.95428,0,2026-09,2026-W33
2026-08-14,QQQ,2026-09-01T22:57:25+00:00,-0.1366,0.18304,-0.31905,0,2026-09,2026-W33
2026-08-17,QQQ,2026-09-01T22:57:25+00:00,-0.16414,0.25716,-0.42022,0,2026-09,2026-W34
2026-08-18,QQQ,2026-09-01T22:57:25+00:00,-1.69345,-1.32352,-0.37489,0,2026-09,2026-W34
2026-08-19,QQQ,2026-09-01T22:57:25+00:00,-0.1993,0.40139,-0.59829,0,2026-09,2026-W34
2026-08-20,QQQ,2026-09-01T22:57:25+00:00,-0.7192,-0.5572,-0.16291,0,2026-09,2026-W34
2026-08-21,QQQ,2026-09-01T22:57:25+00:00,0.35306,0.60484,-0.25027,0,2026-09,2026-W34
2026-08-24,QQQ,2026-09-01T22:57:25+00:00,-0.99798,-0.52983,-0.47064,0,2026-09,2026-W35
2026-08-25,QQQ,2026-09-01T22:57:25+00:00,0.62294,0.69373,-0.0703,0,2026-09,2026-W35
2026-08-26,QQQ,2026-09-01T22:57:25+00:00,0.09146,-0.32502,0.41784,1,2026-09,2026-W35
2026-08-27,QQQ,2026-09-01T22:57:25+00:00,1.36919,0.78159,0.58304,1,2026-09,2026-W35
2026-08-28,QQQ,2026-09-01T22:57:25+00:00,-0.649,-0.18998,-0.45989,1,2026-09,2026-W35
2026-08-31,QQQ,2026-09-01T22:57:25+00:00,0.04606,-0.17587,0.22233,1,2026-09,2026-W36
2026-08-07,SPY,2026-09-01T22:57:25+00:00,0.61153,0.32008,0.29052,0,2026-09,2026-W32
2026-08-10,SPY,2026-09-01T22:57:25+00:00,-0.02974,-0.08536,0.05566,0,2026-09,2026-W33
2026-08-11,SPY,2026-09-01T22:57:25+00:00,-0.31953,0.19404,-0.51257,0,2026-09,2026-W33
2026-08-12,SPY,2026-09-01T22:57:25+00:00,0.25047,0.53857,-0.28656,0,2026-09,2026-W33
2026-08-13,SPY,2026-09-01T22:57:25+00:00,0.69775,0.3081,0.38845,0,2026-09,2026-W33
2026-08-14,SPY,2026-09-01T22:57:25+00:00,-0.19797,0.08484,-0.28257,0,2026-09,2026-W33
2026-08-17,SPY,2026-09-01T22:57:25+00:00,-0.47274,-0.02061,-0.45222,0,2026-09,2026-W34
2026-08-18,SPY,2026-09-01T22:57:25+00:00,-0.67558,-0.5138,-0.16261,0,2026-09,2026-W34
2026-08-19,SPY,2026-09-01T22:57:25+00:00,0.20978,0.37917,-0.16875,0,2026-09,2026-W34
2026-08-20,SPY,2026-09-01T22:57:25+00:00,-0.83999,-0.40309,-0.43867,0,2026-09,2026-W34
2026-08-21,SPY,2026-09-01T22:57:25+00:00,0.40913,0.4524,-0.04308,0,2026-09,2026-W34
2026-08-24,SPY,2026-09-01T22:57:25+00:00,-0.29384,-0.12275,-0.1713,0,2026-09,2026-W35
2026-08-25,SPY,2026-09-01T22:57:25+00:00,0.31959,0.35234,-0.03263,0,2026-09,2026-W35
2026-08-26,SPY,2026-09-01T22:57:25+00:00,0.0222,-0.15406,0.17654,1,2026-09,2026-W35
2026-08-27,SPY,2026-09-01T22:57:25+00:00,0.65528,0.31589,0.33832,1,2026-09,2026-W35
2026-08-28,SPY,2026-09-01T22:57:25+00:00,-0.22695,0.0856,-0.31228,1,2026-09,2026-W35
2026-08-31,SPY,2026-09-01T22:57:25+00:00,-0.29895,-0.26255,-0.03649,1,2026-09,2026-W36
2026-09-01,QQQ,2026-09-02T22:57:02+00:00,-1.27239,-1.30727,0.03534,1,2026-09,2026-W36
2026-09-01,SPY,2026-09-02T22:57:02+00:00,-0.68704,-0.65706,-0.03018,1,2026-09,2026-W36
