signal_id,experiment,ticker,signal_date,entry_date,graded_at,entry_open,ret_1d_net,ret_nd_net,bench_1d_net,bench_nd_net,excess_1d,excess_nd,win_1d,note
EXP07-SMAPULL-2026-08-07-MS,EXP07-SMAPULL,MS,2026-08-07,2026-08-10,2026-08-17T21:21:26+00:00,216.33,-0.5623,0.769,0.7121,-0.18,-1.2743,0.949,0,
EXP07-SMAPULL-2026-08-07-COP,EXP07-SMAPULL,COP,2026-08-07,2026-08-10,2026-08-17T21:21:26+00:00,119.23,3.0871,6.8865,0.7121,-0.18,2.375,7.0665,1,
EXP07-SMAPULL-2026-08-07-WFC,EXP07-SMAPULL,WFC,2026-08-07,2026-08-10,2026-08-17T21:21:26+00:00,86.91,0.6019,0.6249,0.7121,-0.18,-0.1102,0.8049,1,
EXP07-SMAPULL-2026-08-07-MRK,EXP07-SMAPULL,MRK,2026-08-07,2026-08-10,2026-08-17T21:21:26+00:00,128.29,1.95,5.8864,0.7121,-0.18,1.238,6.0664,1,
EXP07-SMAPULL-2026-08-07-LLY,EXP07-SMAPULL,LLY,2026-08-07,2026-08-10,2026-08-17T21:21:26+00:00,1185.01,3.8603,-0.2561,0.7121,-0.18,3.1482,-0.0761,1,
EXP07-SMAPULL-2026-08-10-CVX,EXP07-SMAPULL,CVX,2026-08-10,2026-08-11,2026-08-18T21:18:55+00:00,194.25,1.1407,5.8151,-0.5098,-0.4185,1.6505,6.2335,1,
EXP07-SMAPULL-2026-08-10-WFC,EXP07-SMAPULL,WFC,2026-08-10,2026-08-11,2026-08-18T21:18:55+00:00,87.62,-0.294,-0.3511,-0.5098,-0.4185,0.2158,0.0674,0,
EXP07-SMAPULL-2026-08-11-V,EXP07-SMAPULL,V,2026-08-11,2026-08-12,2026-08-19T21:20:32+00:00,361.0,-0.5377,1.1576,0.2742,0.7204,-0.8119,0.4372,0,
EXP07-SMAPULL-2026-08-11-MS,EXP07-SMAPULL,MS,2026-08-11,2026-08-12,2026-08-19T21:20:32+00:00,218.49,-0.489,-2.0498,0.2742,0.7204,-0.7632,-2.7701,0,
EXP07-SMAPULL-2026-08-12-AXP,EXP07-SMAPULL,AXP,2026-08-12,2026-08-13,2026-08-20T21:22:47+00:00,345.39,-0.6038,-4.2229,-0.0403,-1.1062,-0.5635,-3.1167,0,
EXP07-SMAPULL-2026-08-12-JNJ,EXP07-SMAPULL,JNJ,2026-08-12,2026-08-13,2026-08-20T21:22:47+00:00,261.73,0.0337,2.0549,-0.0403,-1.1062,0.074,3.1611,1,
EXP07-SMAPULL-2026-08-12-MA,EXP07-SMAPULL,MA,2026-08-12,2026-08-13,2026-08-20T21:22:47+00:00,565.61,0.1528,1.3568,-0.0403,-1.1062,0.1931,2.463,1,
EXP07-SMAPULL-2026-08-12-MRK,EXP07-SMAPULL,MRK,2026-08-12,2026-08-13,2026-08-20T21:22:47+00:00,133.86,1.1625,11.2029,-0.0403,-1.1062,1.2028,12.309,1,
EXP07-SMAPULL-2026-08-13-V,EXP07-SMAPULL,V,2026-08-13,2026-08-14,2026-08-21T21:19:16+00:00,365.89,-0.5756,1.3075,-0.4593,-0.1877,-0.1163,1.4952,0,
EXP07-SMAPULL-2026-08-13-AXP,EXP07-SMAPULL,AXP,2026-08-13,2026-08-14,2026-08-21T21:19:16+00:00,345.99,-1.1145,-2.9874,-0.4593,-0.1877,-0.6552,-2.7997,0,
EXP07-SMAPULL-2026-08-13-MA,EXP07-SMAPULL,MA,2026-08-13,2026-08-14,2026-08-21T21:19:16+00:00,567.95,0.1359,2.1326,-0.4593,-0.1877,0.5952,2.3203,1,
EXP07-SMAPULL-2026-08-14-CAT,EXP07-SMAPULL,CAT,2026-08-14,2026-08-17,2026-08-24T21:23:54+00:00,864.03,1.9393,-6.2352,-0.4964,0.9172,2.4357,-7.1524,1,
EXP07-SMAPULL-2026-08-14-V,EXP07-SMAPULL,V,2026-08-14,2026-08-17,2026-08-24T21:23:54+00:00,362.84,-1.2024,5.2936,-0.4964,0.9172,-0.706,4.3763,0,
EXP07-SMAPULL-2026-08-18-V,EXP07-SMAPULL,V,2026-08-18,2026-08-19,2026-08-27T00:24:31+00:00,364.09,0.2983,5.341,0.2593,-0.0205,0.0389,5.3614,1,
EXP07-SMAPULL-2026-08-18-WFC,EXP07-SMAPULL,WFC,2026-08-18,2026-08-19,2026-08-27T00:24:31+00:00,87.41,-1.7817,-2.594,0.2593,-0.0205,-2.0411,-2.5735,0,
EXP07-SMAPULL-2026-08-18-ABBV,EXP07-SMAPULL,ABBV,2026-08-18,2026-08-19,2026-08-27T00:24:31+00:00,261.51,1.6055,0.4315,0.2593,-0.0205,1.3461,0.452,1,
EXP07-SMAPULL-2026-08-19-AAPL,EXP07-SMAPULL,AAPL,2026-08-19,2026-08-20,2026-08-28T05:03:45+00:00,317.46,-2.0404,-1.0072,-0.8681,0.2072,-1.1723,-1.2144,0,
EXP07-SMAPULL-2026-08-19-JPM,EXP07-SMAPULL,JPM,2026-08-19,2026-08-20,2026-08-28T05:03:45+00:00,357.6,-1.7918,-1.0452,-0.8681,0.2072,-0.9238,-1.2524,0,
