signal_id,experiment,ticker,signal_date,entry_date,graded_at,entry_open,ret_1d_net,ret_nd_net,bench_1d_net,bench_nd_net,excess_1d,excess_nd,win_1d,note
EXP08-BOLLREVERT-2026-09-08-BLK,EXP08-BOLLREVERT,BLK,2026-09-08,2026-09-09,2026-09-16T23:29:26+00:00,1092.77,-1.9979,-5.1816,-0.4092,-1.7141,-1.5887,-3.4675,0,
EXP08-BOLLREVERT-2026-09-09-BLK,EXP08-BOLLREVERT,BLK,2026-09-09,2026-09-10,2026-09-17T23:20:43+00:00,1065.34,-0.376,-1.1682,-0.5085,-0.6824,0.1326,-0.4858,0,
EXP08-BOLLREVERT-2026-09-10-BLK,EXP08-BOLLREVERT,BLK,2026-09-10,2026-09-11,2026-09-18T22:58:30+00:00,1082.8101,-0.3918,-1.3034,-0.3617,-1.3018,-0.0302,-0.0015,0,
EXP08-BOLLREVERT-2026-09-14-BAC,EXP08-BOLLREVERT,BAC,2026-09-14,2026-09-15,2026-09-22T23:26:41+00:00,59.37,0.1527,-5.4394,-0.1881,-0.7793,0.3407,-4.6601,1,
EXP08-BOLLREVERT-2026-09-14-MS,EXP08-BOLLREVERT,MS,2026-09-14,2026-09-15,2026-09-22T23:26:41+00:00,205.34,0.3578,-2.6129,-0.1881,-0.7793,0.5459,-1.8336,1,
EXP08-BOLLREVERT-2026-09-14-GS,EXP08-BOLLREVERT,GS,2026-09-14,2026-09-15,2026-09-22T23:26:41+00:00,984.65,-0.9104,-3.6708,-0.1881,-0.7793,-0.7224,-2.8915,0,
EXP08-BOLLREVERT-2026-09-15-BAC,EXP08-BOLLREVERT,BAC,2026-09-15,2026-09-16,2026-09-23T23:24:48+00:00,59.27,-2.4115,-5.6171,-0.9174,-0.3544,-1.4941,-5.2627,0,
EXP08-BOLLREVERT-2026-09-15-AMZN,EXP08-BOLLREVERT,AMZN,2026-09-15,2026-09-16,2026-09-23T23:24:48+00:00,248.1,-0.9626,0.3716,-0.9174,-0.3544,-0.0452,0.726,0,
EXP08-BOLLREVERT-2026-09-15-GS,EXP08-BOLLREVERT,GS,2026-09-15,2026-09-16,2026-09-24T23:43:52+00:00,981.46,-4.5301,-6.0269,-1.1,-1.1194,-3.4301,-4.9075,0,
EXP08-BOLLREVERT-2026-09-15-UNH,EXP08-BOLLREVERT,UNH,2026-09-15,2026-09-16,2026-09-24T23:43:52+00:00,375.9,-0.2703,-0.3368,-1.1,-1.1194,0.8298,0.7826,0,
EXP08-BOLLREVERT-2026-09-15-MS,EXP08-BOLLREVERT,MS,2026-09-15,2026-09-16,2026-09-24T23:43:52+00:00,207.87,-2.7218,-5.6564,-1.1,-1.1194,-1.6218,-4.537,0,
EXP08-BOLLREVERT-2026-09-16-BAC,EXP08-BOLLREVERT,BAC,2026-09-16,2026-09-17,2026-09-24T23:43:52+00:00,58.4,-0.4767,-4.1582,-0.0311,-1.0066,-0.4457,-3.1516,0,
EXP08-BOLLREVERT-2026-09-16-AMZN,EXP08-BOLLREVERT,AMZN,2026-09-16,2026-09-17,2026-09-24T23:43:52+00:00,251.07,-0.0522,-0.7731,-0.0311,-1.0066,-0.0211,0.2335,0,
EXP08-BOLLREVERT-2026-09-16-JPM,EXP08-BOLLREVERT,JPM,2026-09-16,2026-09-17,2026-09-24T23:43:52+00:00,352.25,-0.9346,-3.9864,-0.0311,-1.0066,-0.9036,-2.9798,0,
EXP08-BOLLREVERT-2026-09-16-MS,EXP08-BOLLREVERT,MS,2026-09-16,2026-09-17,2026-09-25T23:45:54+00:00,205.05,-0.8462,-4.3575,-0.1516,-0.924,-0.6946,-3.4335,0,
EXP08-BOLLREVERT-2026-09-16-UNH,EXP08-BOLLREVERT,UNH,2026-09-16,2026-09-17,2026-09-25T23:45:54+00:00,376.45,-0.4294,-0.4825,-0.1516,-0.924,-0.2778,0.4414,0,
EXP08-BOLLREVERT-2026-09-17-BAC,EXP08-BOLLREVERT,BAC,2026-09-17,2026-09-18,2026-09-25T23:45:54+00:00,57.52,0.2651,-1.5256,-0.2183,-0.5138,0.4834,-1.0118,1,
