signal_id,experiment,captured_at,signal_date,ticker,rank_in_day,meta
EXP08-BOLLREVERT-2026-08-06-UNH,EXP08-BOLLREVERT,2026-08-07T11:36:53+00:00,2026-08-06,UNH,1,bb_mid=421.145;bb_sd=7.6452;close=403.97;z=-2.2465
EXP08-BOLLREVERT-2026-09-08-BLK,EXP08-BOLLREVERT,2026-09-09T12:12:26+00:00,2026-09-08,BLK,1,bb_mid=1150.609;bb_sd=23.4096;close=1095.37;z=-2.3597
EXP08-BOLLREVERT-2026-09-09-BLK,EXP08-BOLLREVERT,2026-09-10T12:06:00+00:00,2026-09-09,BLK,1,bb_mid=1146.7685;bb_sd=29.0144;close=1072.03;z=-2.5759
EXP08-BOLLREVERT-2026-09-10-BLK,EXP08-BOLLREVERT,2026-09-11T12:03:54+00:00,2026-09-10,BLK,1,bb_mid=1141.843;bb_sd=34.1098;close=1062.4;z=-2.329
EXP08-BOLLREVERT-2026-09-14-BAC,EXP08-BOLLREVERT,2026-09-15T12:30:22+00:00,2026-09-14,BAC,1,bb_mid=62.3675;bb_sd=0.953;close=59.47;z=-3.0403
EXP08-BOLLREVERT-2026-09-14-MS,EXP08-BOLLREVERT,2026-09-15T12:30:22+00:00,2026-09-14,MS,2,bb_mid=214.123;bb_sd=3.0299;close=206.58;z=-2.4895
EXP08-BOLLREVERT-2026-09-14-GS,EXP08-BOLLREVERT,2026-09-15T12:30:22+00:00,2026-09-14,GS,3,bb_mid=1028.8635;bb_sd=17.3702;close=988.45;z=-2.3266
EXP08-BOLLREVERT-2026-09-15-BAC,EXP08-BOLLREVERT,2026-09-16T11:57:57+00:00,2026-09-15,BAC,1,bb_mid=62.149;bb_sd=1.0724;close=59.52;z=-2.4515
EXP08-BOLLREVERT-2026-09-15-GS,EXP08-BOLLREVERT,2026-09-16T11:57:57+00:00,2026-09-15,GS,2,bb_mid=1025.1315;bb_sd=19.9703;close=976.67;z=-2.4267
EXP08-BOLLREVERT-2026-09-15-UNH,EXP08-BOLLREVERT,2026-09-16T11:57:57+00:00,2026-09-15,UNH,3,bb_mid=392.303;bb_sd=7.0918;close=375.93;z=-2.3087
EXP08-BOLLREVERT-2026-09-15-MS,EXP08-BOLLREVERT,2026-09-16T11:57:57+00:00,2026-09-15,MS,4,bb_mid=213.5265;bb_sd=3.3264;close=206.28;z=-2.1785
EXP08-BOLLREVERT-2026-09-15-AMZN,EXP08-BOLLREVERT,2026-09-16T11:57:57+00:00,2026-09-15,AMZN,5,bb_mid=257.8605;bb_sd=4.353;close=248.42;z=-2.1688
