signal_id,experiment,captured_at,signal_date,ticker,rank_in_day,meta
EXP09-NR7-2026-08-06-CVX,EXP09-NR7,2026-08-07T11:36:53+00:00,2026-08-06,CVX,1,close=189.23;range=2.76;range_pct=1.4585;sma200=176.1279
EXP09-NR7-2026-08-06-AMZN,EXP09-NR7,2026-08-07T11:36:53+00:00,2026-08-06,AMZN,2,close=272.26;range=4.42;range_pct=1.6235;sma200=236.2466
EXP09-NR7-2026-08-06-TMO,EXP09-NR7,2026-08-07T11:36:53+00:00,2026-08-06,TMO,3,close=580.02;range=10.68;range_pct=1.8413;sma200=531.5571
EXP09-NR7-2026-08-06-XOM,EXP09-NR7,2026-08-07T11:36:53+00:00,2026-08-06,XOM,4,close=154.84;range=3.03;range_pct=1.9569;sma200=139.9989
EXP09-NR7-2026-08-07-CVX,EXP09-NR7,2026-08-10T11:40:22+00:00,2026-08-07,CVX,1,close=186.56;range=1.88;range_pct=1.0077;sma200=176.2883
EXP09-NR7-2026-08-07-MSFT,EXP09-NR7,2026-08-10T11:40:22+00:00,2026-08-07,MSFT,2,close=499.99;range=6.45;range_pct=1.29;sma200=433.077
EXP09-NR7-2026-08-07-AAPL,EXP09-NR7,2026-08-10T11:40:22+00:00,2026-08-07,AAPL,3,close=313.33;range=4.07;range_pct=1.299;sma200=279.4127
EXP09-NR7-2026-08-07-SCHW,EXP09-NR7,2026-08-10T11:40:22+00:00,2026-08-07,SCHW,4,close=107.6;range=1.44;range_pct=1.3383;sma200=95.8848
EXP09-NR7-2026-08-07-XOM,EXP09-NR7,2026-08-10T11:40:22+00:00,2026-08-07,XOM,5,close=153.04;range=2.14;range_pct=1.3983;sma200=140.2006
EXP09-NR7-2026-08-10-JPM,EXP09-NR7,2026-08-11T11:35:50+00:00,2026-08-10,JPM,1,close=359.79;range=3.49;range_pct=0.97;sma200=313.5512
EXP09-NR7-2026-08-10-AAPL,EXP09-NR7,2026-08-11T11:35:50+00:00,2026-08-10,AAPL,2,close=308.26;range=3.65;range_pct=1.1841;sma200=279.6402
EXP09-NR7-2026-08-10-BLK,EXP09-NR7,2026-08-11T11:35:50+00:00,2026-08-10,BLK,3,close=1131.4;range=13.98;range_pct=1.2356;sma200=1053.149
EXP09-NR7-2026-08-10-UNH,EXP09-NR7,2026-08-11T11:35:50+00:00,2026-08-10,UNH,4,close=408.74;range=5.08;range_pct=1.2428;sma200=346.1478
EXP09-NR7-2026-08-10-MA,EXP09-NR7,2026-08-11T11:35:50+00:00,2026-08-10,MA,5,close=563.17;range=7.41;range_pct=1.3158;sma200=528.1151
EXP09-NR7-2026-08-11-BAC,EXP09-NR7,2026-08-12T11:38:04+00:00,2026-08-11,BAC,1,close=64.0;range=0.56;range_pct=0.875;sma200=53.9854
EXP09-NR7-2026-08-11-SCHW,EXP09-NR7,2026-08-12T11:38:04+00:00,2026-08-11,SCHW,2,close=107.7;range=1.03;range_pct=0.9564;sma200=96.0163
EXP09-NR7-2026-08-11-KO,EXP09-NR7,2026-08-12T11:38:04+00:00,2026-08-11,KO,3,close=86.48;range=0.94;range_pct=1.087;sma200=76.7141
EXP09-NR7-2026-08-11-MSFT,EXP09-NR7,2026-08-12T11:38:04+00:00,2026-08-11,MSFT,4,close=503.81;range=5.78;range_pct=1.1473;sma200=432.9354
EXP09-NR7-2026-08-11-V,EXP09-NR7,2026-08-12T11:38:04+00:00,2026-08-11,V,5,close=362.82;range=4.58;range_pct=1.2623;sma200=331.0674
