iso_week,computed_at,cohort,n_post,rho_absmae,rho_range,rho_ret1,rho_ret5,sig_absmae,sig_range,sig_ret1
2026-W32,2026-08-07T01:00:40+00:00,v0.2-yf,14,-0.3789,0.0903,-0.0507,0.3348,0,0,0
2026-W32,2026-08-07T01:00:40+00:00,v0.3-yf,10,-0.0920,0.3497,0.2025,0.5092,0,0,0
2026-W33,2026-08-10T11:40:29+00:00,v0.2-yf,27,0.0526,0.1446,-0.2223,0.0575,0,0,0
2026-W33,2026-08-10T11:40:29+00:00,v0.3-yf,20,0.2380,0.5060,-0.0858,0.0633,0,1,0
2026-W34,2026-08-17T11:15:08+00:00,v0.2-yf,75,0.1078,0.1537,-0.1177,-0.0320,0,0,0
2026-W34,2026-08-17T11:15:08+00:00,v0.3-yf,59,0.1091,0.2757,0.0521,-0.0541,0,1,0
2026-W35,2026-08-24T11:17:49+00:00,v0.2-yf,153,0.0069,0.1786,-0.0302,0.1120,0,1,0
2026-W35,2026-08-24T11:17:49+00:00,v0.3-yf,110,0.1909,0.2714,0.1416,-0.1373,1,1,0
2026-W36,2026-09-01T00:20:27+00:00,v0.2-yf,232,0.0318,0.2325,-0.0133,0.0854,0,1,0
2026-W36,2026-09-01T00:20:27+00:00,v0.3-yf,167,0.2533,0.3287,0.0862,-0.2082,1,1,0
