signal_id,ticker,signal_date,entry_date,graded_at,entry_open,same_day_close,ret_1d_net,ret_5d_net,ret_rsiexit_net,exit_session,bench_1d_net,bench_5d_net,excess_1d,excess_5d,excess_rsiexit,win_1d,note
EXP02-RSI2-2026-07-31-AAPL,AAPL,2026-07-31,2026-08-03,2026-08-10T21:36:46+00:00,309.58,303.42,-2.0898,-0.5264,1.1113,4,0.0244,2.0675,-2.1142,-2.5938,-0.9561,0,
EXP02-RSI2-2026-08-03-AAPL,AAPL,2026-08-03,2026-08-04,2026-08-11T21:40:48+00:00,302.73,309.38,2.0967,0.6201,3.4015,3,0.7244,1.5175,1.3722,-0.8974,1.884,1,
EXP02-RSI2-2026-08-03-LLY,LLY,2026-08-03,2026-08-04,2026-08-11T21:40:48+00:00,1117.38,1115.6801,-0.2521,8.6383,4.5967,1,0.7244,1.5175,-0.9766,7.1208,3.0792,0,
EXP02-RSI2-2026-08-03-ABBV,ABBV,2026-08-03,2026-08-04,2026-08-11T21:40:48+00:00,246.74,243.8,-1.2915,1.2577,0.3985,4,0.7244,1.5175,-2.016,-0.2598,-1.119,0,
EXP02-RSI2-2026-08-04-LLY,LLY,2026-08-04,2026-08-05,2026-08-12T21:40:16+00:00,1174.0,1169.86,-0.4526,3.8421,-0.4526,0,-0.62,0.1304,0.1673,3.7116,-0.5831,0,
EXP02-RSI2-2026-08-04-ABBV,ABBV,2026-08-04,2026-08-05,2026-08-13T21:39:47+00:00,247.0,246.2,-0.4239,1.4466,0.2927,3,-0.6151,0.1634,0.1912,1.2832,0.1293,0,
EXP02-RSI2-2026-08-05-XOM,XOM,2026-08-05,2026-08-06,2026-08-13T21:39:47+00:00,154.22,154.84,0.302,2.7466,3.5117,2,-0.6973,0.702,0.9994,2.0446,2.8097,1,
EXP02-RSI2-2026-08-14-AVGO,AVGO,2026-08-14,2026-08-17,2026-08-24T21:23:51+00:00,397.26,392.43,-1.3158,-9.7914,-9.7914,5,-0.4964,0.9172,-0.8194,-10.7086,-10.7086,0,
EXP02-RSI2-2026-08-18-AVGO,AVGO,2026-08-18,2026-08-19,2026-08-27T00:24:27+00:00,372.4,362.48,-2.7638,-4.614,-4.614,5,0.2593,-0.0205,-3.0231,-4.5935,-4.5935,0,
EXP02-RSI2-2026-08-18-AMZN,AMZN,2026-08-18,2026-08-19,2026-08-27T00:24:27+00:00,260.85,265.84,1.813,-0.3185,1.813,0,0.2593,-0.0205,1.5536,-0.298,1.8335,1,
