signal_id,experiment,captured_at,signal_date,ticker,close,sma200,rsi2,universe_n,rank_in_day
EXP02-RSI2-2026-07-31-AAPL,EXP02-RSI2,2026-07-31T22:11:54+00:00,2026-07-31,AAPL,308.91,277.9605,3.531,40,1
EXP02-RSI2-2026-08-03-AAPL,EXP02-RSI2,2026-08-03T13:58:49+00:00,2026-08-03,AAPL,306.35,278.2534,2.993,40,1
EXP02-RSI2-2026-08-03-LLY,EXP02-RSI2,2026-08-03T13:58:49+00:00,2026-08-03,LLY,1116.9399,1026.3171,3.64,40,2
EXP02-RSI2-2026-08-03-ABBV,EXP02-RSI2,2026-08-03T13:58:49+00:00,2026-08-03,ABBV,245.365,224.7704,4.423,40,3
EXP02-RSI2-2026-08-04-LLY,EXP02-RSI2,2026-08-05T12:31:12+00:00,2026-08-04,LLY,1115.6801,1027.7848,3.212,40,1
EXP02-RSI2-2026-08-04-ABBV,EXP02-RSI2,2026-08-05T12:31:12+00:00,2026-08-04,ABBV,243.8,224.8569,3.499,40,2
EXP02-RSI2-2026-08-05-XOM,EXP02-RSI2,2026-08-06T12:49:19+00:00,2026-08-05,XOM,151.63,139.7859,4.165,40,1
EXP02-RSI2-2026-08-14-AVGO,EXP02-RSI2,2026-08-17T11:14:58+00:00,2026-08-14,AVGO,392.99,369.199,4.641,40,1
EXP02-RSI2-2026-08-18-AVGO,EXP02-RSI2,2026-08-19T11:14:10+00:00,2026-08-18,AVGO,380.0,369.2664,1.619,40,1
EXP02-RSI2-2026-08-18-AMZN,EXP02-RSI2,2026-08-19T11:14:10+00:00,2026-08-18,AMZN,259.45,238.0085,2.232,40,2
EXP02-RSI2-2026-08-20-MS,EXP02-RSI2,2026-08-21T11:15:23+00:00,2026-08-20,MS,207.45,188.17,1.998,40,1
EXP02-RSI2-2026-08-20-UNH,EXP02-RSI2,2026-08-21T11:15:23+00:00,2026-08-20,UNH,384.85,347.7065,2.903,40,2
EXP02-RSI2-2026-08-20-NVDA,EXP02-RSI2,2026-08-21T11:15:23+00:00,2026-08-20,NVDA,216.85,195.2483,4.705,40,3
EXP02-RSI2-2026-08-21-NVDA,EXP02-RSI2,2026-08-24T11:17:38+00:00,2026-08-21,NVDA,214.72,195.2875,2.063,40,1
EXP02-RSI2-2026-08-24-NVDA,EXP02-RSI2,2026-08-25T11:16:38+00:00,2026-08-24,NVDA,208.48,195.3365,0.481,40,1
